Income,Tax,Effective Rate,Marginal Rate
62000,14812.418,0.23890996,0.33249998
62100,14845.668,0.23906067,0.33249998
62200,14878.918,0.2392109,0.33249998
62300,14912.168,0.23936065,0.33249998
62400,14945.418,0.23950991,0.33249998
62500,14978.668,0.23965868,0.33249998
62600,15011.918,0.239807,0.33249998
62700,15045.168,0.23995483,0.33249998
62800,15078.418,0.2401022,0.33249998
62900,15111.668,0.2402491,0.33249998
63000,15144.918,0.24039552,0.33249998
63100,15178.168,0.24054149,0.33249998
63200,15211.418,0.240687,0.33249998
63300,15244.668,0.24083203,0.33249998
63400,15277.918,0.24097662,0.33249998
63500,15311.168,0.24112076,0.33249998
63600,15344.418,0.24126443,0.33249998
63700,15377.668,0.24140766,0.33249998
63800,15410.918,0.24155045,0.33249998
63900,15444.168,0.24169277,0.33249998
64000,15477.418,0.24183466,0.33249998
64100,15510.668,0.2419761,0.33249998
64200,15543.918,0.2421171,0.33249998
64300,15577.168,0.24225767,0.33249998
64400,15610.418,0.2423978,0.33249998
64500,15643.668,0.24253748,0.33249998
64600,15676.918,0.24267675,0.33249998
64700,15710.168,0.24281558,0.33249998
64800,15743.418,0.24295399,0.33249998
64900,15776.668,0.24309196,0.33249998
65000,15809.918,0.24322951,0.33249998
65100,15843.168,0.24336663,0.33249998
65200,15876.418,0.24350335,0.33249998
65300,15909.668,0.24363963,0.33249998
65400,15942.918,0.2437755,0.33249998
65500,15976.168,0.24391097,0.33249998
65600,16009.418,0.244046,0.33249998
65700,16042.668,0.24418063,0.33249998
65800,16075.918,0.24431486,0.33249998
65900,16109.168,0.24444868,0.33249998
66000,16142.418,0.24458209,0.33249998
66100,16175.668,0.2447151,0.33249998
66200,16208.918,0.2448477,0.33249998
66300,16242.168,0.2449799,0.33249998
66400,16275.418,0.24511172,0.33249998
66500,16308.668,0.24524313,0.33249998
66600,16341.918,0.24537414,0.33249998
66700,16375.168,0.24550477,0.33249998
66800,16408.418,0.245635,0.33249998
66900,16441.668,0.24576484,0.33249998
67000,16474.918,0.2458943,0.33249998
67100,16512.818,0.24609268,0.379
67200,16550.719,0.24629046,0.379
67300,16588.62,0.24648765,0.379
67400,16626.52,0.24668427,0.379
67500,16664.418,0.24688026,0.379
67600,16702.318,0.24707572,0.379
67700,16740.219,0.24727058,0.379
67800,16778.12,0.24746488,0.379
67900,16816.02,0.24765861,0.379
68000,16853.918,0.24785173,0.379
68100,16891.818,0.24804433,0.379
68200,16929.719,0.24823634,0.379
68300,16967.62,0.24842781,0.379
68400,17005.52,0.2486187,0.379
68500,17043.418,0.24880902,0.379
68600,17081.318,0.2489988,0.379
68700,17119.219,0.24918805,0.379
68800,17157.12,0.24937673,0.379
68900,17195.018,0.24956484,0.379
69000,17232.918,0.24975243,0.379
69100,17270.818,0.24993949,0.379
69200,17308.719,0.250126,0.379
69300,17346.62,0.25031197,0.379
69400,17384.518,0.25049737,0.379
69500,17422.418,0.25068226,0.379
69600,17460.318,0.25086665,0.379
69700,17498.219,0.25105047,0.379
69800,17536.12,0.2512338,0.379
69900,17574.018,0.25141656,0.379
70000,17611.918,0.25159883,0.379
70100,17649.818,0.25178057,0.379
70200,17687.719,0.2519618,0.379
70300,17725.62,0.25214252,0.379
70400,17763.518,0.2523227,0.379
70500,17801.418,0.25250238,0.379
70600,17839.318,0.25268155,0.379
70700,17877.219,0.25286025,0.379
70800,17915.12,0.2530384,0.379
70900,17953.018,0.25321606,0.379
71000,17990.918,0.2533932,0.379
71100,18028.818,0.25356987,0.379
71200,18066.719,0.25374606,0.379
71300,18104.62,0.25392172,0.379
71400,18142.518,0.2540969,0.379
71500,18180.418,0.25427157,0.379
71600,18218.318,0.2544458,0.379
71700,18256.219,0.2546195,0.379
71800,18294.12,0.25479275,0.379
71900,18332.018,0.25496548,0.379
72000,18369.918,0.25513774,0.379
72100,18407.818,0.25530955,0.379
72200,18445.719,0.25548086,0.379
72300,18483.62,0.2556517,0.379
72400,18521.518,0.25582206,0.379
